Compressor name,Level,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lzma,19.00 -1,19.71,33.28,12888858400,7800000269,60.52,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lzma,19.00 -2,14.05,33.47,12888858400,7809099270,60.59,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lzma,19.00 -4,8.91,33.62,12888858400,7796198207,60.49,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lzma,19.00 -5,4.56,33.04,12888858400,7646774582,59.33,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
lzma,19.00 -9,3.22,33.79,12888858400,7559066167,58.65,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -1,44.20,307.91,12888858400,8015040691,62.19,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -3,40.57,307.96,12888858400,8004228458,62.10,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -5,35.60,311.36,12888858400,7948007700,61.67,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -7,34.42,315.86,12888858400,7937702380,61.59,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
zlib,1.2.11 -9,21.32,320.32,12888858400,7917743782,61.43,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0002/CORR-R0034-AGIPD02-S00004.h5
